customer_id,age,snapshot_date,occ_Accountant,occ_Architect,occ_Developer,occ_Doctor,occ_Engineer,occ_Entrepreneur,occ_Journalist,occ_Lawyer,occ_Manager,occ_Mechanic,occ_Media_Manager,occ_Musician,occ_Scientist,occ_Teacher,occ_Unknown,occ_Writer
CUS_0x1000,18.0,2023-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CUS_0x1009,26.0,2025-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CUS_0x100b,19.0,2024-03-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CUS_0x1011,44.0,2023-11-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CUS_0x1013,44.0,2023-12-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CUS_0x1015,27.0,2023-08-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CUS_0x1018,18.0,2023-11-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUS_0x1026,52.0,2023-10-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CUS_0x102d,31.0,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CUS_0x102e,26.0,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CUS_0x1032,33.0,2023-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CUS_0x1037,45.0,2023-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUS_0x1038,28.0,2024-10-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUS_0x103e,40.0,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CUS_0x1041,18.0,2023-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CUS_0x1044,44.0,2023-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CUS_0x1048,27.0,2024-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUS_0x104a,37.0,2023-12-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CUS_0x104e,50.0,2023-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CUS_0x104f,20.0,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CUS_0x1051,42.0,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CUS_0x1056,44.0,2023-04-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CUS_0x1057,33.0,2023-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CUS_0x105b,24.0,2023-11-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUS_0x105c,70.0,2023-06-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CUS_0x1063,20.0,2023-12-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUS_0x1069,32.0,2023-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUS_0x106f,55.0,2023-08-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CUS_0x1075,39.0,2024-05-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
