customer_id,age,snapshot_date,occ_accountant,occ_architect,occ_developer,occ_doctor,occ_engineer,occ_entrepreneur,occ_journalist,occ_lawyer,occ_manager,occ_mechanic,occ_media_manager,occ_musician,occ_scientist,occ_teacher,occ_unknown,occ_writer,annual_income,monthly_inhand_salary,num_bank_accounts,num_credit_card,interest_rate,num_of_loan,delay_from_due_date,num_of_delayed_payment,changed_credit_limit,num_credit_inquiries,outstanding_debt,credit_utilization_ratio,payment_of_min_amount,total_emi_per_month,amount_invested_monthly,monthly_balance,credit_history_age_months,mix_bad,mix_good,mix_standard,mix_unknown,behav_high_spent_large_value_payments,behav_high_spent_medium_value_payments,behav_high_spent_small_value_payments,behav_low_spent_large_value_payments,behav_low_spent_medium_value_payments,behav_low_spent_small_value_payments,behav_unknown,loan_type_count,emi_to_income_ratio,debt_to_income,delayed_payment_rate,fe_1,fe_2,fe_3,fe_4,fe_5,fe_6,fe_7,fe_8,fe_9,fe_10,fe_11,fe_12,fe_13,fe_14,fe_15,fe_16,fe_17,fe_18,fe_19,fe_20,default_flag,month
CUS_0x1009,26.0,2025-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,52312.68,4250.39,6,5,17,4.0,5,18.0,9.73,4.0,202.68,40.286996673783,1,108.36646712525564,58.66019164829086,508.01234122645366,372,0,0,0,1,0,1,0,0,0,0,0,4,0.025495652663698,0.0038743952708979,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2025-01
CUS_0x1038,28.0,2024-10-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129473.16,10959.43,3,4,10,3.0,28,13.0,8.61,10.0,568.21,34.089318015879286,1,255.32790499097848,1088.2714495635144,32.34364544550715,240,0,0,1,0,0,0,0,0,1,0,0,3,0.0232975533390859,0.0043886315897441,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-10
CUS_0x103e,40.0,2024-12-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,98690.8,8262.233333333334,4,6,9,1.0,6,17.0,10.76,4.0,706.96,26.860663456485163,0,55.004407569291885,913.4813186573292,147.7376071067124,323,0,1,0,0,0,0,0,0,0,1,0,1,0.0066573292414026,0.0071633830103717,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-12
CUS_0x104f,20.0,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11336.835,992.73625,4,6,14,6.0,30,19.0,16.44,7.0,177.98,37.71745659884346,-1,35.56273086250209,133.79735014337106,219.91354399412683,178,0,0,0,1,0,0,0,0,0,1,0,6,0.0358229397410461,0.015699267035288,3.1666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-10
CUS_0x107e,18.0,2024-11-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75095.91,6269.9925,5,6,15,6.0,9,10.0,20.53,8.0,989.71,24.21913739089471,1,10000.0,10000.0,234.0665602906369,144,0,0,1,0,0,0,0,0,1,0,0,6,1.5948982395114506,0.0131792796704907,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-11
CUS_0x1087,51.0,2024-09-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42153.13,3377.7608333333333,5,4,10,3.0,10,9.0,4.81,7.0,1027.64,26.34447694521021,0,79.29961145958775,80.62490239728156,437.851569476464,341,0,1,0,0,0,0,1,0,0,0,0,3,0.0234769764268156,0.0243787353394635,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-09
CUS_0x1098,23.0,2025-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20652.98,1468.081666666667,7,5,21,2.0,24,10.0,8.58,8.0,1859.53,37.44110091296552,-1,33.238356239959586,54.60338563277085,348.96642479393626,227,0,0,1,0,0,0,0,0,0,1,0,2,0.0226406725147848,0.0900368857181869,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2025-01
CUS_0x109f,41.0,2025-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,130435.86000000002,10623.655,4,20,9,2.0,13,1.0,12.85,0.0,942.71,34.78470397665838,-1,188.18613322151185,1070.730679227028,81.1419359951725,359,0,1,0,0,0,0,0,0,1,0,0,2,0.0177138784365184,0.0072273836351445,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2025-01
CUS_0x10a9,41.0,2024-10-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17603.265,1324.9459783621264,8,6,4,0.0,9,12.0,10.27,4.0,836.66,41.792552501915615,0,102.9927716378738,20.63448928511361,362.1593857148864,189,0,0,0,1,1,0,0,0,0,0,0,1,0.0777335629677457,0.0475286828892253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-10
CUS_0x10ac,29.0,2024-08-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16718.645,1270.2204166666668,7,3,15,4.0,26,11.0,18.45,1.0,853.41,31.39733884144666,0,50.9619359000891,36.41309208442618,319.6470136821514,195,0,0,0,1,0,0,0,0,0,0,1,4,0.0401205454040994,0.0510454046963734,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-08
CUS_0x10b3,48.0,2024-11-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,136150.6,11127.883333333331,1,5,9,3.0,10,3.0,10.72,3.0,260.29,35.958594509030085,-1,177.65407218247665,1302.3574307873828,898.3588009083421,328,0,0,0,1,0,0,0,0,0,1,0,3,0.0159647676796105,0.0019117800435694,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-11
CUS_0x10b6,49.0,2025-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,400000.0,1712.969166666667,7,3,19,3.0,6,12.0,1.23,1.0,277.93,40.27854125759779,0,37.99637812752503,65.372164147804,327.9283743913377,220,0,0,1,0,0,0,1,0,0,0,0,3,0.0221815890600434,0.000694825,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2025-01
CUS_0x10c5,24.0,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,158623.16,13180.596666666665,2,7,10,1.0,10,5.0,6.04,0.0,1134.83,41.7968001237713,0,91.03390497961712,282.7186890975772,1194.3070725894725,362,0,1,0,0,0,1,0,0,0,0,0,1,0.0069066603949606,0.0071542516237855,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2024-08
CUS_0x10df,27.0,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9929.235,828.4362500000002,4,8,23,3.0,16,18.0,11.5,14.0,2328.08,36.50926646104516,1,18.120966441843297,74.96443136195327,260.9159334781246,86,0,0,1,0,0,0,0,0,0,1,0,3,0.0218737005313846,0.2344672071916919,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2024-11
CUS_0x10e2,37.0,2025-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,43133.85000000001,3432.487500000001,10,10,31,7.0,43,24.0,6.41,11.0,2504.1,27.11586056380063,1,151.28725497549289,67.89250966068741,364.0689853638198,129,1,0,0,0,1,0,0,0,0,0,0,7,0.0440751073311972,0.058054173230537,3.4285714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2025-01
CUS_0x10e7,33.0,2024-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,64933.76,5368.1466666666665,3,3,33,-100.0,15,19.0,13.04,11.0,2699.17,24.95863819730197,1,193.69258208877807,186.1466653588923,406.9754192189962,172,0,0,1,0,0,1,0,0,0,0,0,4,0.0360818349639189,0.0415680533516001,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-11
CUS_0x1108,25.0,2024-07-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117499.47,9780.6225,4,5,8,0.0,10,8.0,8.32,4.0,337.9,30.61812257306397,0,0.0,334.3979770998342,923.6642729001657,368,0,1,0,0,0,0,0,0,1,0,0,1,0.0,0.0028757576523536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2024-07
CUS_0x111b,40.0,2024-10-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,70277.22,5633.435,3,6,7,3.0,5,9.0,4.050000000000002,7.0,762.48,36.53293818170338,0,149.93410641234473,496.79119085081146,186.61820273684376,246,0,1,0,0,0,0,0,1,0,0,0,3,0.0266150415177142,0.0108496038972514,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-10
CUS_0x1123,18.0,2024-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15264.98,1266.0816666666667,6,5,34,3.0,23,14.0,9.68,14.0,2375.88,24.094344057885515,1,10000.0,136.95202265544256,242.8660473000196,106,1,0,0,0,0,0,0,0,0,1,0,3,7.898384648699596,0.1556425229512256,4.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2024-10
CUS_0x1138,44.0,2024-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,154868.24,13051.686666666665,2,5,10,0.0,14,3.0,4.16,6.0,242.75,42.320068058227136,0,0.0,759.5938772793154,825.5747893873512,359,0,1,0,0,0,0,0,0,0,0,1,1,0.0,0.0015674614756389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2024-09
CUS_0x1144,42.0,2024-11-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,135851.24,11418.936666666665,4,4,18,2.0,28,19.0,11.19,13.0,695.12,32.631874548192144,1,206.55719362380657,1139.0837370941445,76.25273594871554,302,0,0,1,0,0,0,0,0,1,0,0,2,0.0180890042263544,0.0051167733176377,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-11
CUS_0x1145,24.0,2024-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17975.32,1444.9433333333334,6,5,32,9.0,61,25.0,8.9,13.0,1263.1,25.681798029462104,1,76.450324587172,176.77621007546128,181.26779867070005,149,1,0,0,0,0,0,0,0,0,1,0,9,0.0529088738800635,0.0702685682368936,2.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2024-08
CUS_0x114b,37.0,2025-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,107118.96,9104.58,5,7,5,3.0,24,8.0,10.49,3.0,1049.33,29.111560568760147,1,10000.0,815.4767928955413,235.41521726855115,370,0,0,1,0,0,0,0,0,1,0,0,3,1.0983483038207145,0.0097959315512398,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2025-01
CUS_0x1151,41.0,2024-10-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17692.27,1335.3558333333333,6,5,29,6.0,35,25.0,28.12,9.0,3762.64,24.55496970878073,1,78.44723488236784,167.4413850143566,177.6469634366089,137,1,0,0,0,0,0,0,0,0,1,0,6,0.0587463153446874,0.2126714096043074,4.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-10
CUS_0x1152,29.0,2024-11-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31316.47,2510.705833333333,0,2,6,2.0,13,5.0,5.44,1.0,800.89,36.4516560517456,0,10000.0,124.97678843365011,355.2718152011777,222,0,1,0,0,0,0,1,0,0,0,0,2,3.982943707397024,0.0255740829027026,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-11
CUS_0x1193,46.0,2024-10-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31877.72,2571.476666666667,2,5,20,1.0,29,13.0,4.46,4.0,886.59,28.72954070561974,-1,21.794375249782988,82.33899418272938,403.0142972341543,303,0,0,1,0,0,1,0,0,0,0,0,1,0.0084754318529494,0.027812214926287,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-10
CUS_0x1195,31.0,2024-12-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30429.91,2808.8258333333333,4,6,16,2.0,22,17.0,1.67,30.0,362.48,33.349050386579805,0,29.91407646402904,82.87878577514347,438.0897210941608,347,0,0,1,0,0,0,0,1,0,0,0,2,0.010650028958374,0.0119119642483333,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-12
