customer_id,age,snapshot_date,occ_accountant,occ_architect,occ_developer,occ_doctor,occ_engineer,occ_entrepreneur,occ_journalist,occ_lawyer,occ_manager,occ_mechanic,occ_media_manager,occ_musician,occ_scientist,occ_teacher,occ_unknown,occ_writer,annual_income,monthly_inhand_salary,num_bank_accounts,num_credit_card,interest_rate,num_of_loan,delay_from_due_date,num_of_delayed_payment,changed_credit_limit,num_credit_inquiries,outstanding_debt,credit_utilization_ratio,payment_of_min_amount,total_emi_per_month,amount_invested_monthly,monthly_balance,credit_history_age_months,mix_bad,mix_good,mix_standard,mix_unknown,behav_high_spent_large_value_payments,behav_high_spent_medium_value_payments,behav_high_spent_small_value_payments,behav_low_spent_large_value_payments,behav_low_spent_medium_value_payments,behav_low_spent_small_value_payments,behav_unknown,loan_type_count,emi_to_income_ratio,debt_to_income,delayed_payment_rate,fe_1,fe_2,fe_3,fe_4,fe_5,fe_6,fe_7,fe_8,fe_9,fe_10,fe_11,fe_12,fe_13,fe_14,fe_15,fe_16,fe_17,fe_18,fe_19,fe_20,default_flag,month
CUS_0x1000,18.0,2023-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30625.94,2706.1616666666664,6,5,27,2.0,57,26.0,1.63,11.0,1562.91,30.07719135017377,1,42.941090422469365,77.31427572208112,400.36080052211616,129,1,0,0,0,0,1,0,0,0,0,0,2,0.01586789545924,0.0510322295413626,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2023-05
CUS_0x1011,44.0,2023-11-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,58918.47,5208.8725,3,3,17,3.0,27,13.0,14.42,7.0,473.14,27.82995907548726,1,123.43493879634316,383.35084463651407,294.1014665671429,190,0,0,1,0,0,0,0,0,1,0,0,3,0.0236970551297508,0.0080304189840639,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2023-11
CUS_0x1013,44.0,2023-12-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,98620.98,7962.415000000001,3,3,6,3.0,12,9.0,1.33,3.0,1233.51,26.52486357896023,0,228.018083652734,332.3337079767732,485.8897083704929,214,0,1,0,0,0,1,0,0,0,0,0,3,0.0286367997212822,0.0125075820580975,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2023-12
CUS_0x1015,27.0,2023-08-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,46951.02,3725.585,7,4,16,0.0,8,9.0,15.83,9.0,340.22,38.68223175011704,-1,0.0,437.4339945818671,225.12450541813288,257,0,0,1,0,0,0,0,0,0,1,0,1,0.0,0.0072462749478073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2023-08
CUS_0x1018,18.0,2023-11-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61194.81,5014.5675,7,7,23,8.0,19,22.0,28.63,8.0,2773.09,27.268457710529688,1,225.3686913764476,166.53062988488216,359.55742873867035,171,1,0,0,0,0,1,0,0,0,0,0,8,0.0449427974349627,0.0453157710596699,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2023-11
CUS_0x1026,52.0,2023-10-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,170614.28,14463.856666666668,2,6,9,2.0,0,5.0,0.73,3.0,849.69,31.75752065713533,0,208.90747938201577,184.27787149576235,1303.2003157888887,248,0,1,0,0,0,1,0,0,0,0,0,2,0.0144434146574103,0.0049801810258789,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2023-10
CUS_0x1032,33.0,2023-08-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,60410.94,5274.245,4,7,17,4.0,24,9.0,10.65,9.0,1852.86,31.80839553625598,1,149.9263873826631,481.4927768814807,176.00533573585616,195,0,0,1,0,0,0,0,0,0,0,1,4,0.0284261325332181,0.0306709347677755,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2023-08
CUS_0x1037,45.0,2023-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15989.085,1086.42375,5,4,2,4.0,13,15.0,0.5,3.0,665.82,40.69769934536393,0,33.797020629881075,80.46523951443457,284.3801148556844,237,0,1,0,0,0,0,0,0,0,1,0,4,0.0311085068141055,0.0416421577594965,3.75,63.0,118.0,80.0,121.0,55.0,193.0,111.0,112.0,-101.0,83.0,164.0,105.0,-16.0,-81.0,-126.0,114.0,35.0,85.0,-73.0,76.0,0,2023-01
CUS_0x1041,18.0,2023-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8978.11,894.1758333333332,8,8,30,9.0,50,17.0,18.48,10.0,4913.15,37.74656726266676,1,57.67965790681974,43.56585814621352,248.1720672803001,125,1,0,0,0,0,0,1,0,0,0,0,9,0.0645059458739786,0.5472365564690118,1.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2023-11
CUS_0x1044,44.0,2023-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33441.59,2748.799166666666,2,4,1,0.0,1,4.0,9.58,5.0,154.96,35.984108540767004,0,0.0,229.53226071473443,335.34765595193227,383,0,0,0,1,0,0,0,0,0,1,0,1,0.0,0.0046337509669845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2023-06
